date,airline,departure,arrival,dept_time,arr_time,flight_no,airline_en
2025-09-16,長榮航空,台北桃園,上海浦東,09:55,12:05,BR712,EVA Air
2025-09-21,長榮航空,上海虹橋,台北松山,19:40,21:45,BR771,EVA Air
2025-10-03,長榮航空,台北桃園,香港,12:40,14:25,BR869,EVA Air
2025-10-03,卡達航空,香港,杜哈,19:40,23:05,QR817,Qatar Airways
2025-10-04,卡達航空,杜哈,漢堡,02:05,07:25,QR091,Qatar Airways
2025-10-12,卡達航空,柏林,杜哈,09:40,16:20,QR080,Qatar Airways
2025-10-12,卡達航空,杜哈,曼谷,19:25,06:15+1,QR838,Qatar Airways
2025-10-13,泰國航空,曼谷,台北桃園,08:25,13:05,TG632,Thai Airways
2025-10-24,上海航空,台北松山,上海虹橋,11:30,13:30,FM852,Shanghai Airlines
2025-10-27,中國東方航空,上海虹橋,威海,18:25,20:10,MU5581,China Eastern
2025-10-31,中國東方航空,青島,首爾仁川,13:15,15:50,MU559,China Eastern
2025-11-02,長榮航空,首爾仁川,台北桃園,19:45,21:40,BR159,EVA Air
2026-03-06,長榮航空,台北松山,首爾金浦,09:20,12:50,BR156,EVA Air
2026-03-08,中華航空,首爾金浦,台北松山,13:45,15:30,CI261,China Airlines
